# Golden Image Package Analysis Report
# Generated: 2026-03-24 07:33:22
# Total installed packages: 384
# Format: CATEGORY|package|priority|rdeps|reason
CRITICAL|adduser|important|11|transitive dep of critical snapd (pass 1)
CRITICAL|apparmor|optional|3|transitive dep of critical snapd (pass 1)
CRITICAL|apport|optional|4|boot/network/installer chain
SAFE|apport-symptoms|optional|2|no critical cascade
RISKY|apt|important|7|7 rdeps: Reverse Depends: debconf dpkg libapt-pkg6.0 lsb-release 
CRITICAL|base-files|required|2|dpkg priority required
CRITICAL|base-passwd|required|1|dpkg priority required
CRITICAL|bash|required|1|dpkg priority required
SAFE|bcache-tools|optional|2|no critical cascade
RISKY|binutils|optional|6|6 rdeps: Reverse Depends: binutils-common binutils-x86-64-linux-gnu libbinutils needrestart 
SAFE|binutils-common|optional|4|no critical cascade
SAFE|binutils-x86-64-linux-gnu|optional|2|no critical cascade
CRITICAL|bsdutils|required|1|dpkg priority required
SAFE|btrfs-progs|optional|2|no critical cascade
CRITICAL|busybox-initramfs|optional|4|boot/network/installer chain
CRITICAL|ca-certificates|standard|13|transitive dep of critical snapd (pass 1)
CRITICAL|cloud-guest-utils|optional|1|removal cascades to: cloud-init 
CRITICAL|cloud-init|optional|2|boot/network/installer chain
CRITICAL|console-setup|optional|4|boot/network/installer chain
CRITICAL|console-setup-linux|optional|1|boot/network/installer chain
CRITICAL|coreutils|required|4|dpkg priority required
CRITICAL|cpio|important|3|transitive dep of critical initramfs-tools-core (pass 1)
CRITICAL|cryptsetup|optional|4|boot/network/installer chain
CRITICAL|cryptsetup-bin|optional|3|boot/network/installer chain
CRITICAL|cryptsetup-initramfs|optional|2|boot/network/installer chain
CRITICAL|curl|optional|2|boot/network/installer chain
CRITICAL|dash|required|1|dpkg priority required
CRITICAL|dbus|standard|7|transitive dep of critical dbus-user-session (pass 1)
CRITICAL|dbus-user-session|optional|3|boot/network/installer chain
CRITICAL|debconf|required|9|dpkg priority required
CRITICAL|debianutils|required|7|dpkg priority required
CRITICAL|diffutils|required|1|dpkg priority required
CRITICAL|dirmngr|optional|4|transitive dep of critical gnupg (pass 1)
CRITICAL|distro-info-data|optional|4|transitive dep of critical python3-apt (pass 2)
CRITICAL|dmeventd|optional|3|transitive dep of critical lvm2 (pass 1)
CRITICAL|dmsetup|optional|5|transitive dep of critical cryptsetup (pass 1)
CRITICAL|dpkg|required|11|dpkg priority required
CRITICAL|e2fsprogs|required|5|dpkg priority required
SAFE|eatmydata|optional|3|no critical cascade
CRITICAL|fdisk|important|1|boot/network/installer chain
SAFE|finalrd|optional|3|no critical cascade
CRITICAL|findutils|required|1|dpkg priority required
CRITICAL|fuse3|optional|3|boot/network/installer chain
CRITICAL|gawk|optional|2|boot/network/installer chain
CRITICAL|gcc-12-base|required|3|dpkg priority required
CRITICAL|gdisk|optional|3|boot/network/installer chain
SAFE|gettext-base|standard|2|no critical cascade
CRITICAL|gir1.2-glib-2.0|optional|6|transitive dep of critical networkd-dispatcher (pass 1)
SAFE|gir1.2-packagekitglib-1.0|optional|2|no critical cascade
CRITICAL|gnupg|optional|13|boot/network/installer chain
CRITICAL|gnupg-l10n|optional|2|transitive dep of critical gnupg (pass 1)
CRITICAL|gnupg-utils|optional|2|boot/network/installer chain
CRITICAL|gpg|optional|8|boot/network/installer chain
CRITICAL|gpg-agent|optional|6|transitive dep of critical gnupg (pass 1)
CRITICAL|gpg-wks-client|optional|2|boot/network/installer chain
CRITICAL|gpg-wks-server|optional|2|transitive dep of critical gnupg (pass 1)
CRITICAL|gpgconf|optional|6|transitive dep of critical gpg (pass 1)
CRITICAL|gpgsm|optional|4|boot/network/installer chain
CRITICAL|gpgv|important|3|transitive dep of critical gnupg (pass 1)
CRITICAL|grep|required|1|dpkg priority required
SAFE|groff-base|important|2|no critical cascade
CRITICAL|gzip|required|1|dpkg priority required
CRITICAL|hostname|required|1|dpkg priority required
CRITICAL|init-system-helpers|required|8|dpkg priority required
CRITICAL|initramfs-tools|optional|5|boot/network/installer chain
CRITICAL|initramfs-tools-bin|optional|2|boot/network/installer chain
CRITICAL|initramfs-tools-core|optional|4|boot/network/installer chain
CRITICAL|iproute2|important|4|boot/network/installer chain
CRITICAL|isc-dhcp-client|important|2|boot/network/installer chain
SAFE|isc-dhcp-common|important|2|no critical cascade
CRITICAL|iso-codes|optional|3|boot/network/installer chain
CRITICAL|kbd|optional|4|boot/network/installer chain
CRITICAL|keyboard-configuration|optional|3|boot/network/installer chain
CRITICAL|klibc-utils|optional|2|transitive dep of critical initramfs-tools-core (pass 1)
CRITICAL|kmod|important|2|boot/network/installer chain
SAFE|kpartx|optional|2|no critical cascade
CRITICAL|libacl1|required|6|dpkg priority required
CRITICAL|libaio1|optional|5|transitive dep of critical lvm2 (pass 1)
CRITICAL|libapparmor1|optional|3|transitive dep of critical systemd (pass 1)
SAFE|libappstream4|optional|2|no critical cascade
CRITICAL|libapt-pkg6.0|important|4|transitive dep of critical python3-apt (pass 2)
CRITICAL|libargon2-1|optional|2|transitive dep of critical libcryptsetup12 (pass 2)
CRITICAL|libassuan0|optional|9|transitive dep of critical gpg (pass 1)
SAFE|libatm1|optional|2|no critical cascade
CRITICAL|libattr1|required|2|dpkg priority required
CRITICAL|libaudit-common|required|2|dpkg priority required
CRITICAL|libaudit1|required|11|dpkg priority required
SAFE|libbinutils|optional|5|no critical cascade
CRITICAL|libblkid1|required|15|dpkg priority required
CRITICAL|libbpf0|optional|2|transitive dep of critical iproute2 (pass 1)
CRITICAL|libbrotli1|optional|3|transitive dep of critical libcurl4 (pass 2)
CRITICAL|libbsd0|optional|4|transitive dep of critical iproute2 (pass 1)
CRITICAL|libbz2-1.0|required|10|dpkg priority required
CRITICAL|libc-bin|required|1|dpkg priority required
CRITICAL|libc6|required|263|dpkg priority required
CRITICAL|libcap-ng0|required|4|dpkg priority required
CRITICAL|libcap2|required|9|dpkg priority required
CRITICAL|libcap2-bin|important|4|transitive dep of critical iproute2 (pass 1)
CRITICAL|libcbor0.8|optional|2|transitive dep of critical libfido2-1 (pass 2)
CRITICAL|libcom-err2|required|6|dpkg priority required
CRITICAL|libcrypt1|required|12|dpkg priority required
CRITICAL|libcryptsetup12|optional|4|transitive dep of critical cryptsetup (pass 1)
SAFE|libctf-nobfd0|optional|2|no critical cascade
SAFE|libctf0|optional|2|no critical cascade
SAFE|libcurl3-gnutls|optional|2|no critical cascade
CRITICAL|libcurl4|optional|2|transitive dep of critical curl (pass 1)
CRITICAL|libdb5.3|required|6|dpkg priority required
CRITICAL|libdbus-1-3|optional|3|transitive dep of critical dbus (pass 2)
CRITICAL|libdebconfclient0|required|2|dpkg priority required
CRITICAL|libdevmapper-event1.02.1|optional|3|transitive dep of critical lvm2 (pass 1)
CRITICAL|libdevmapper1.02.1|optional|8|transitive dep of critical libcryptsetup12 (pass 2)
CRITICAL|libdns-export1110|optional|2|transitive dep of critical isc-dhcp-client (pass 1)
CRITICAL|libdrm-common|optional|2|transitive dep of critical libdrm2 (pass 2)
CRITICAL|libdrm2|optional|3|transitive dep of critical plymouth (pass 1)
SAFE|libdw1|optional|2|no critical cascade
SAFE|libeatmydata1|optional|2|no critical cascade
CRITICAL|libedit2|optional|4|transitive dep of critical lvm2 (pass 1)
CRITICAL|libelf1|optional|5|transitive dep of critical iproute2 (pass 1)
CRITICAL|libexpat1|optional|5|transitive dep of critical python3.10-minimal (pass 1)
CRITICAL|libext2fs2|required|3|dpkg priority required
CRITICAL|libfdisk1|optional|2|transitive dep of critical fdisk (pass 1)
CRITICAL|libffi8|important|7|transitive dep of critical libpython3.10-stdlib (pass 1)
CRITICAL|libfido2-1|optional|3|transitive dep of critical openssh-client (pass 1)
CRITICAL|libfuse3-3|optional|3|boot/network/installer chain
CRITICAL|libgcc-s1|required|17|dpkg priority required
CRITICAL|libgcrypt20|required|14|dpkg priority required
SAFE|libgdbm-compat4|optional|2|no critical cascade
SAFE|libgdbm6|optional|3|no critical cascade
CRITICAL|libgirepository-1.0-1|optional|4|transitive dep of critical gir1.2-glib-2.0 (pass 2)
CRITICAL|libglib2.0-0|optional|19|transitive dep of critical netplan.io (pass 1)
SAFE|libglib2.0-bin|optional|2|no critical cascade
SAFE|libglib2.0-data|optional|3|no critical cascade
CRITICAL|libgmp10|required|7|dpkg priority required
CRITICAL|libgnutls30|important|8|transitive dep of critical systemd (pass 1)
CRITICAL|libgpg-error0|required|15|dpkg priority required
CRITICAL|libgssapi-krb5-2|required|8|dpkg priority required
SAFE|libgstreamer1.0-0|optional|2|no critical cascade
CRITICAL|libhogweed6|important|3|transitive dep of critical libgnutls30 (pass 2)
SAFE|libicu70|optional|3|no critical cascade
CRITICAL|libidn2-0|important|7|transitive dep of critical wget (pass 1)
SAFE|libinih1|optional|2|no critical cascade
SAFE|libintl-perl|optional|3|no critical cascade
SAFE|libintl-xs-perl|optional|2|no critical cascade
CRITICAL|libip4tc2|optional|2|transitive dep of critical systemd (pass 1)
CRITICAL|libisc-export1105|optional|3|transitive dep of critical isc-dhcp-client (pass 1)
SAFE|libisns0|optional|2|no critical cascade
CRITICAL|libjson-c5|optional|5|transitive dep of critical cryptsetup (pass 1)
CRITICAL|libk5crypto3|required|4|dpkg priority required
CRITICAL|libkeyutils1|required|2|dpkg priority required
CRITICAL|libklibc|optional|2|transitive dep of critical klibc-utils (pass 2)
CRITICAL|libkmod2|optional|8|transitive dep of critical kmod (pass 1)
CRITICAL|libkrb5-3|required|3|dpkg priority required
CRITICAL|libkrb5support0|required|4|dpkg priority required
CRITICAL|libksba8|optional|4|transitive dep of critical gnupg-utils (pass 1)
CRITICAL|libldap-2.5-0|optional|4|transitive dep of critical libcurl4 (pass 2)
SAFE|libldap-common|optional|2|no critical cascade
CRITICAL|liblocale-gettext-perl|required|4|dpkg priority required
CRITICAL|liblvm2cmd2.03|optional|2|transitive dep of critical dmeventd (pass 2)
CRITICAL|liblz4-1|required|6|dpkg priority required
CRITICAL|liblzma5|required|16|dpkg priority required
CRITICAL|liblzo2-2|optional|4|transitive dep of critical snapd (pass 1)
CRITICAL|libmd0|optional|2|transitive dep of critical libbsd0 (pass 2)
CRITICAL|libmnl0|optional|2|transitive dep of critical iproute2 (pass 1)
SAFE|libmodule-find-perl|optional|2|no critical cascade
SAFE|libmodule-scandeps-perl|optional|2|no critical cascade
CRITICAL|libmount1|required|7|dpkg priority required
CRITICAL|libmpdec3|optional|2|transitive dep of critical libpython3.10-stdlib (pass 1)
CRITICAL|libmpfr6|optional|2|removal cascades to: gawk 
CRITICAL|libncurses6|required|2|dpkg priority required
CRITICAL|libncursesw6|required|6|dpkg priority required
CRITICAL|libnetplan0|optional|2|transitive dep of critical netplan.io (pass 1)
CRITICAL|libnettle8|important|5|transitive dep of critical libgnutls30 (pass 2)
CRITICAL|libnghttp2-14|optional|3|transitive dep of critical libcurl4 (pass 2)
CRITICAL|libnpth0|optional|3|transitive dep of critical gpg-agent (pass 2)
CRITICAL|libnsl2|required|3|dpkg priority required
CRITICAL|libnss-systemd|standard|2|pattern match: *systemd*
SAFE|libntfs-3g89|optional|2|no critical cascade
SAFE|libopeniscsiusr|optional|2|no critical cascade
CRITICAL|libp11-kit0|important|2|transitive dep of critical libgnutls30 (pass 2)
SAFE|libpackagekit-glib2-18|optional|4|no critical cascade
CRITICAL|libpam-cap|optional|2|pattern match: *libpam-*
CRITICAL|libpam-modules|required|7|dpkg priority required
CRITICAL|libpam-modules-bin|required|2|dpkg priority required
CRITICAL|libpam-runtime|required|4|dpkg priority required
CRITICAL|libpam-systemd|standard|5|pattern match: *systemd*
CRITICAL|libpam0g|required|13|dpkg priority required
SAFE|libpci3|optional|3|no critical cascade
CRITICAL|libpcre2-8-0|required|3|dpkg priority required
CRITICAL|libpcre3|required|3|dpkg priority required
SAFE|libperl5.34|optional|2|no critical cascade
CRITICAL|libplymouth5|optional|3|boot/network/installer chain
CRITICAL|libpng16-16|optional|2|transitive dep of critical libplymouth5 (pass 1)
CRITICAL|libpolkit-agent-1-0|optional|3|boot/network/installer chain
CRITICAL|libpolkit-gobject-1-0|optional|5|boot/network/installer chain
CRITICAL|libpopt0|optional|3|transitive dep of critical cryptsetup-bin (pass 1)
SAFE|libproc-processtable-perl|optional|2|no critical cascade
CRITICAL|libprocps8|required|2|dpkg priority required
CRITICAL|libpsl5|optional|4|transitive dep of critical wget (pass 1)
CRITICAL|libpython3-stdlib|optional|2|boot/network/installer chain
CRITICAL|libpython3.10-minimal|optional|3|boot/network/installer chain
CRITICAL|libpython3.10-stdlib|optional|6|boot/network/installer chain
CRITICAL|libreadline8|optional|9|transitive dep of critical gpg (pass 1)
